ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-12-31,288.2382962611666,277.37306893793556,283.3766058502879,288.2382962611666,288.2382962611666,-7.821848334513983,-7.821848334513983,-7.821848334513983,-0.14714591089238496,-0.14714591089238496,-0.14714591089238496,-7.674702423621597,-7.674702423621597,-7.674702423621597,0.0,0.0,0.0,280.41644792665267
2015-01-01,288.2598502992967,277.3989841072342,283.4830759953556,288.2598502992967,288.2598502992967,-7.725256804375585,-7.725256804375585,-7.725256804375585,-0.039775023715487474,-0.039775023715487474,-0.039775023715487474,-7.6854817806600995,-7.6854817806600995,-7.6854817806600995,0.0,0.0,0.0,280.5345934949211
2015-01-02,288.2814043374268,277.70436971410186,283.6410261059209,288.2814043374268,288.2814043374268,-7.614471694499426,-7.614471694499426,-7.614471694499426,0.07190578096090708,0.07190578096090708,0.07190578096090708,-7.686377475460334,-7.686377475460334,-7.686377475460334,0.0,0.0,0.0,280.6669326429274
2015-01-03,288.30295837555695,277.5338030001837,283.5812941139583,288.30295837555695,288.30295837555695,-7.586774771096822,-7.586774771096822,-7.586774771096822,0.09040240619862036,0.09040240619862036,0.09040240619862036,-7.677177177295441,-7.677177177295441,-7.677177177295441,0.0,0.0,0.0,280.7161836044601
2015-01-04,288.32451241368705,277.7591065485258,283.37408785438004,288.32451241368705,288.32451241368705,-7.531288806209289,-7.531288806209289,-7.531288806209289,0.1266140369230738,0.1266140369230738,0.1266140369230738,-7.657902843132364,-7.657902843132364,-7.657902843132364,0.0,0.0,0.0,280.7932236074778
2015-01-05,288.34606645181714,277.72692766379254,283.7811343992658,288.34606645181714,288.34606645181714,-7.599627478037887,-7.599627478037887,-7.599627478037887,0.029189738174083758,0.029189738174083758,0.029189738174083758,-7.628817216211972,-7.628817216211972,-7.628817216211972,0.0,0.0,0.0,280.7464389737793
2015-01-06,288.3676204899472,277.70181324167356,283.5193257077328,288.3676204899472,288.3676204899472,-7.7216143796945245,-7.7216143796945245,-7.7216143796945245,-0.13119102764846763,-0.13119102764846763,-0.13119102764846763,-7.590423352046058,-7.590423352046058,-7.590423352046058,0.0,0.0,0.0,280.6460061102527
2015-01-07,288.3891745280774,277.7754369740284,283.51446934918863,288.3891745280774,288.3891745280774,-7.690602991954391,-7.690602991954391,-7.690602991954391,-0.1471459108925293,-0.1471459108925293,-0.1471459108925293,-7.543457081061861,-7.543457081061861,-7.543457081061861,0.0,0.0,0.0,280.698571536123
2015-01-08,288.41072856620747,277.70828255725223,283.8169895306673,288.41072856620747,288.41072856620747,-7.528647546770118,-7.528647546770118,-7.528647546770118,-0.03977502371539877,-0.03977502371539877,-0.03977502371539877,-7.48887252305472,-7.48887252305472,-7.48887252305472,0.0,0.0,0.0,280.88208101943735
2015-01-09,288.43228260433756,278.1697309276141,284.06350503776525,288.43228260433756,288.43228260433756,-7.355915192337632,-7.355915192337632,-7.355915192337632,0.07190578096094362,0.07190578096094362,0.07190578096094362,-7.427820973298576,-7.427820973298576,-7.427820973298576,0.0,0.0,0.0,281.0763674119999
2015-01-10,288.45383664246765,278.3068485797023,284.3279349199502,288.45383664246765,288.45383664246765,-7.271221271391097,-7.271221271391097,-7.271221271391097,0.09040240619862308,0.09040240619862308,0.09040240619862308,-7.361623677589721,-7.361623677589721,-7.361623677589721,0.0,0.0,0.0,281.18261537107657
2015-01-11,288.4753906805978,278.3825769623211,284.41499704131263,288.4753906805978,288.4753906805978,-7.165125160902647,-7.165125160902647,-7.165125160902647,0.12661403692304798,0.12661403692304798,0.12661403692304798,-7.291739197825695,-7.291739197825695,-7.291739197825695,0.0,0.0,0.0,281.3102655196951
2015-01-12,288.4969447187279,278.5683201323037,284.2474914077117,288.4969447187279,288.4969447187279,-7.190536497247279,-7.190536497247279,-7.190536497247279,0.029189738174227292,0.029189738174227292,0.029189738174227292,-7.219726235421508,-7.219726235421508,-7.219726235421508,0.0,0.0,0.0,281.30640822148064
2015-01-13,288.518498756858,278.5210174546382,284.0828939828369,288.518498756858,288.518498756858,-7.278393949608142,-7.278393949608142,-7.278393949608142,-0.1311910276485748,-0.1311910276485748,-0.1311910276485748,-7.1472029219595665,-7.1472029219595665,-7.1472029219595665,0.0,0.0,0.0,281.24010480724985
2015-01-14,288.54005279498807,278.43157636864817,284.2831794199004,288.54005279498807,288.54005279498807,-7.222949611471568,-7.222949611471568,-7.222949611471568,-0.1471459108923995,-0.1471459108923995,-0.1471459108923995,-7.075803700579169,-7.075803700579169,-7.075803700579169,0.0,0.0,0.0,281.3171031835165
2015-01-15,288.56160683311816,278.5281556109536,284.47156660122994,288.56160683311816,288.56160683311816,-7.046910027906775,-7.046910027906775,-7.046910027906775,-0.039775023715310075,-0.039775023715310075,-0.039775023715310075,-7.007135004191466,-7.007135004191466,-7.007135004191466,0.0,0.0,0.0,281.5146968052114
2015-01-16,288.58316087124825,278.8397591111416,284.54663960847745,288.58316087124825,288.58316087124825,-6.870825204006429,-6.870825204006429,-6.870825204006429,0.07190578096098513,0.07190578096098513,0.07190578096098513,-6.942730984967414,-6.942730984967414,-6.942730984967414,0.0,0.0,0.0,281.7123356672418
2015-01-17,288.6047149093784,278.9000487529745,284.89546401230183,288.6047149093784,288.6047149093784,-6.793608155825513,-6.793608155825513,-6.793608155825513,0.09040240619855366,0.09040240619855366,0.09040240619855366,-6.884010562024065,-6.884010562024065,-6.884010562024065,0.0,0.0,0.0,281.8111067535529
2015-01-18,288.6262689475085,279.0651091314841,284.92606763923243,288.6262689475085,288.6262689475085,-6.705622993209598,-6.705622993209598,-6.705622993209598,0.12661403692311463,0.12661403692311463,0.12661403692311463,-6.832237030132712,-6.832237030132712,-6.832237030132712,0.0,0.0,0.0,281.9206459542989
2015-01-19,288.6478229856386,279.0731799613593,284.9424296486055,288.6478229856386,288.6478229856386,-6.759291673861174,-6.759291673861174,-6.759291673861174,0.029189738174129964,0.029189738174129964,0.029189738174129964,-6.7884814120353045,-6.7884814120353045,-6.7884814120353045,0.0,0.0,0.0,281.8885313117774
2015-01-20,288.6693770237687,278.89646441103486,284.870121954404,288.6693770237687,288.6693770237687,-6.8847816696599775,-6.8847816696599775,-6.8847816696599775,-0.13119102764860807,-0.13119102764860807,-0.13119102764860807,-6.753590642011369,-6.753590642011369,-6.753590642011369,0.0,0.0,0.0,281.7845953541087
2015-01-21,288.6909310618988,278.99549670295323,284.5878167495858,288.6909310618988,288.6909310618988,-6.875307452083615,-6.875307452083615,-6.875307452083615,-0.14714591089239037,-0.14714591089239037,-0.14714591089239037,-6.728161541191226,-6.728161541191226,-6.728161541191226,0.0,0.0,0.0,281.8156236098152
2015-01-22,288.7124851000289,279.0212988304616,284.60321722308163,288.7124851000289,288.7124851000289,-6.75229641287805,-6.75229641287805,-6.75229641287805,-0.03977502371578849,-0.03977502371578849,-0.03977502371578849,-6.712521389162262,-6.712521389162262,-6.712521389162262,0.0,0.0,0.0,281.9601886871509
2015-01-23,288.734039138159,278.99684253839536,285.1045873837703,288.734039138159,288.734039138159,-6.634809935034846,-6.634809935034846,-6.634809935034846,0.07190578096091578,0.07190578096091578,0.07190578096091578,-6.706715715995762,-6.706715715995762,-6.706715715995762,0.0,0.0,0.0,282.09922920312414
