horizon,mse,rmse,mae,mape,mdape,smape,coverage
37 days,7.477759132391723,2.73454916437641,2.0475048248766683,0.007131457292888816,0.005070162192943244,0.007128472746707745,0.7675840978593272
38 days,7.570620543185793,2.7514760662571267,2.065468961897043,0.007191170483282923,0.005070162192943244,0.007185956606314145,0.764525993883792
39 days,7.371135637454728,2.7149835427594637,2.0440744618640547,0.007117162080151456,0.005070162192943244,0.0071093162843123316,0.7737003058103975
40 days,7.064862940193852,2.657980989434246,2.0208475562386403,0.007038657127157384,0.005124532898750117,0.007027229844810725,0.764525993883792
41 days,6.958607517554946,2.637917268898884,2.025788984172287,0.00705838683058863,0.00520011730351739,0.007043448275604949,0.7675840978593272
42 days,7.035702282525935,2.6524898270353336,2.0460881013290866,0.007130284566299597,0.005379354622337316,0.007113716988209544,0.7614678899082569
43 days,7.3625479824884446,2.713401552017033,2.082655891543772,0.007261857831113191,0.005379354622337316,0.007243159010065762,0.7522935779816514
44 days,7.7263307734526,2.7796278120375395,2.130425737339334,0.007432896738401024,0.005393981832545558,0.007411801639719873,0.7431192660550459
45 days,7.911362795059796,2.8127144887207796,2.1527277763637045,0.0075120663085117305,0.005576928166931439,0.007490237689368974,0.7339449541284404
46 days,8.443851194820242,2.9058305516358387,2.2118081965763645,0.007722918249984935,0.005576928166931439,0.007698469694066381,0.7155963302752294
47 days,8.711915014564465,2.9515953338092378,2.2546271594639054,0.007875030507747485,0.005576928166931439,0.007848775934735324,0.7064220183486238
48 days,8.70479718394642,2.950389327520424,2.2532751109169213,0.007869375156342137,0.005393981832545558,0.007843170234247542,0.7064220183486238
49 days,8.28206219302602,2.8778572224879433,2.191439701930007,0.007646486527656443,0.005379354622337316,0.007622990924536127,0.7125382262996942
50 days,7.903983103296757,2.8114023374993407,2.1433249515315564,0.007471473798776048,0.00520011730351739,0.007450404610859037,0.7217125382262998
51 days,7.679686390236192,2.771224709444579,2.116167823785116,0.0073717690101540775,0.005281380215151914,0.007352389454788695,0.7308868501529052
52 days,7.573673458976994,2.7520307881593538,2.0967110115192202,0.007302372094257641,0.0051619301639011135,0.007283244797731116,0.7339449541284404
53 days,7.701935283637825,2.775236077100077,2.101911258355324,0.007326754956624803,0.005124532898750117,0.007304949569727647,0.7308868501529052
54 days,8.035536056289109,2.8347021106791996,2.1409595416183276,0.007469294101905187,0.00520011730351739,0.007445023093945037,0.7247706422018348
55 days,8.147733812850039,2.8544235517613776,2.1635273272256113,0.007549223096711452,0.00520011730351739,0.007524566844733229,0.7217125382262998
56 days,8.13527400321287,2.8522401727787354,2.1607757474667464,0.007534146860556129,0.005281380215151914,0.0075088937083909475,0.7186544342507645
57 days,7.820063129032496,2.7964375782470983,2.1298788540940534,0.007426442188283613,0.005281380215151914,0.007399169122437018,0.72782874617737
58 days,7.833384016905656,2.798818325098229,2.1356398233824896,0.0074521443013494575,0.005281380215151914,0.007421418292206235,0.7308868501529052
59 days,8.077525401982713,2.8420987671055196,2.1814933284865585,0.007613186613335127,0.005522625813552812,0.0075800997637005645,0.7155963302752294
60 days,8.659845839169014,2.9427616008044235,2.278958778426339,0.007946362814220315,0.0058617755889727955,0.00791488763229471,0.6972477064220184
61 days,9.200692628332327,3.033264351871153,2.351332747231493,0.008191924413506477,0.006269781838149692,0.00816245066677565,0.6788990825688074
62 days,9.525335870431315,3.0863142857510986,2.423609182820373,0.00844023160255888,0.0066585114619787875,0.008412215617131626,0.6697247706422018
63 days,9.926633451324827,3.1506560350702877,2.483720415243383,0.008646329870558815,0.006668178457420055,0.008620691205679933,0.6605504587155964
64 days,10.178224615325773,3.190332994426408,2.5161077147958926,0.008756633026629752,0.006733487804235183,0.008732442920124985,0.6513761467889908
65 days,10.184079331242389,3.191250433802147,2.529663536380374,0.00880232628879193,0.00703739390335229,0.008777699961443343,0.6574923547400612
66 days,10.013481210695243,3.1644085088204466,2.506882265664646,0.00872367950267236,0.00703739390335229,0.008698070998562953,0.6574923547400612
67 days,9.84898999611315,3.138310054171377,2.4640714895436364,0.008574714465870884,0.006733487804235183,0.008547795553053381,0.6666666666666667
68 days,10.161829450738326,3.187762452056038,2.5200686835310906,0.008765937262476512,0.007289173769700779,0.00873955407785074,0.6483180428134557
69 days,10.259627020613738,3.2030652538800606,2.5372755644868805,0.00882182955977731,0.00713023689616762,0.008796522978076059,0.6483180428134557
70 days,10.245774813364537,3.2009021874097523,2.551057365312965,0.008867753191859742,0.007289173769700779,0.008842220172933941,0.6513761467889908
71 days,10.28273597125824,3.2066705429866413,2.5632109666265928,0.008906398761547463,0.007289173769700779,0.008881578385486068,0.6483180428134557
72 days,10.257524796792886,3.202737078936216,2.5477528320002034,0.00885018066440704,0.007289173769700779,0.008827051552675354,0.6422018348623854
73 days,10.271978933477206,3.20499281332692,2.56065560939149,0.008891389409837622,0.007497615043939821,0.008870329560063315,0.636085626911315
74 days,10.366758713713425,3.2197451317943515,2.5743607304900684,0.008936993535386076,0.007542490807382438,0.008917036473152068,0.636085626911315
75 days,10.22507594590034,3.1976672662896526,2.5527881972835162,0.008859454516846962,0.007289173769700779,0.00884074466651039,0.6391437308868502
76 days,10.089377722524704,3.1763780824273273,2.524840296448387,0.008758800690956334,0.007289173769700779,0.008742325759290702,0.6513761467889908
77 days,9.857228407522308,3.1396223351738195,2.4692992192797094,0.008562068601480906,0.006820304509609981,0.008547081469650848,0.6666666666666667
78 days,9.763398654824927,3.1246437644673875,2.4636942163172084,0.008541975489568598,0.00713023689616762,0.008527576168330697,0.6758409785932722
79 days,9.590984397553363,3.0969314486364343,2.4552668435696714,0.008510081209299173,0.006820304509609981,0.00849678237758428,0.6758409785932722
80 days,9.29116838825593,3.0481417926756507,2.4271472996646106,0.008407417177706777,0.0066585114619787875,0.008396012217840624,0.6850152905198778
81 days,9.107568780964762,3.017874878281862,2.417230510776742,0.008367987446797526,0.0066585114619787875,0.008358155756099892,0.6941896024464832
82 days,8.631470559463981,2.9379364457836696,2.3501287764083525,0.008128880376965521,0.006355359783915482,0.008121570535791817,0.709480122324159
83 days,8.28637510497589,2.8786064519096546,2.3069195094274435,0.007973013243290212,0.006577079298285635,0.007968261536561274,0.7217125382262998
84 days,8.185286538899108,2.860993977431464,2.287202261620276,0.007903739638686503,0.006355359783915482,0.007899759216820519,0.7247706422018348
85 days,8.17087836426406,2.858474831840235,2.275896061606917,0.007865648109479626,0.006355359783915482,0.007861861561258916,0.7247706422018348
86 days,8.197295246271379,2.8630919032178097,2.2768578951859357,0.007869914254408762,0.006577079298285635,0.007866773946298483,0.7247706422018348
87 days,8.574054692198079,2.9281486800021064,2.3129653637922885,0.00799152348475038,0.0066585114619787875,0.007991130758813197,0.7155963302752294
88 days,8.735106070155192,2.955521285688058,2.330680613194755,0.008050936871984434,0.006820304509609981,0.008051947534333732,0.7064220183486238
89 days,8.51449373494281,2.917960543760455,2.2895739755514306,0.007904771374630751,0.006577079298285635,0.007907283639715755,0.7125382262996942
90 days,8.103635592746258,2.846688531038522,2.2192710879295503,0.007654915111468557,0.006312522781762974,0.007659622401363624,0.7217125382262998
91 days,7.787094686291022,2.790536630523065,2.1674291774965764,0.007470243087288612,0.006182462890240368,0.0074767124991395395,0.7308868501529052
92 days,7.509946649124699,2.74042818718621,2.119745673260279,0.007303677706042525,0.005913483953446574,0.007311953963654313,0.746177370030581
93 days,7.322770907667815,2.706061881714425,2.0800378992312085,0.007164613398860401,0.005510893960825264,0.007174966543198139,0.7584097859327218
94 days,7.104283368553092,2.665386157492586,2.0293720277913745,0.006985221487214267,0.00526605107730497,0.0069983966806128495,0.7584097859327218
95 days,6.817052545416478,2.6109485911094605,1.9760087656414733,0.006796971938106923,0.005223019611987526,0.006811984227952459,0.7737003058103975
96 days,6.358875987292752,2.521681182721708,1.900687953716763,0.006537867672214547,0.005091274266801369,0.006552838638688263,0.7920489296636085
97 days,5.827385738758636,2.413997874638384,1.8345709879322147,0.0063137473167597215,0.005091274266801369,0.006326722870411223,0.8103975535168195
98 days,5.44006751713118,2.3323952317587984,1.7641936099426576,0.00607324413524789,0.005079932321027109,0.006084731415670792,0.8226299694189603
99 days,5.3091569555200095,2.3041607920281972,1.741244528058219,0.005993814429976308,0.004521920384399864,0.006004616695011483,0.8226299694189603
100 days,5.091226026574519,2.2563745315382637,1.7235415834760648,0.005934967533806218,0.005079932321027109,0.005943736490764348,0.8318042813455658
101 days,5.058267407273133,2.2490592271599104,1.7205925276351686,0.005927067266377196,0.005079932321027109,0.005934781491688351,0.8256880733944955
102 days,5.001709531678754,2.2364502077351855,1.7048096549312126,0.005872302935361318,0.005079932321027109,0.005880017916831078,0.8318042813455658
103 days,4.992729213880384,2.234441588827147,1.706162166900164,0.005877669303424372,0.004521920384399864,0.0058858607914287885,0.8348623853211009
104 days,4.71368238904119,2.171101653318239,1.651709965304141,0.005691987081125131,0.004496951471588604,0.005699356348082665,0.8532110091743119
105 days,4.4323259205493315,2.1053089845790645,1.6010062338178346,0.005518452783851352,0.004313087764342829,0.005524514621745961,0.8593272171253823
106 days,4.384387433010022,2.09389288957435,1.5919966565000156,0.005489210534004536,0.004313087764342829,0.005494340806080047,0.8623853211009175
107 days,4.439299659573858,2.1069645605880174,1.6103833971561075,0.005553936441827029,0.004443929217197761,0.005558203820168766,0.8593272171253823
108 days,4.4331756183076605,2.105510773733457,1.6180983109703115,0.0055797340708940895,0.004443929217197761,0.0055837498395102094,0.8685015290519879
