ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-10,288.45383664246765,278.32627264206343,284.1910827052913,288.45383664246765,288.45383664246765,-7.271221271391097,-7.271221271391097,-7.271221271391097,0.09040240619862308,0.09040240619862308,0.09040240619862308,-7.361623677589721,-7.361623677589721,-7.361623677589721,0.0,0.0,0.0,281.18261537107657
2015-01-11,288.4753906805978,278.55056871066114,284.1533440089241,288.4753906805978,288.4753906805978,-7.165125160902647,-7.165125160902647,-7.165125160902647,0.12661403692304798,0.12661403692304798,0.12661403692304798,-7.291739197825695,-7.291739197825695,-7.291739197825695,0.0,0.0,0.0,281.3102655196951
2015-01-12,288.4969447187279,278.49611495514586,284.02632287219853,288.4969447187279,288.4969447187279,-7.190536497247279,-7.190536497247279,-7.190536497247279,0.029189738174227292,0.029189738174227292,0.029189738174227292,-7.219726235421508,-7.219726235421508,-7.219726235421508,0.0,0.0,0.0,281.30640822148064
2015-01-13,288.518498756858,278.3628104023367,284.1563012493172,288.518498756858,288.518498756858,-7.278393949608142,-7.278393949608142,-7.278393949608142,-0.1311910276485748,-0.1311910276485748,-0.1311910276485748,-7.1472029219595665,-7.1472029219595665,-7.1472029219595665,0.0,0.0,0.0,281.24010480724985
2015-01-14,288.54005279498807,278.4211546084217,284.16514642941524,288.54005279498807,288.54005279498807,-7.222949611471568,-7.222949611471568,-7.222949611471568,-0.1471459108923995,-0.1471459108923995,-0.1471459108923995,-7.075803700579169,-7.075803700579169,-7.075803700579169,0.0,0.0,0.0,281.3171031835165
2015-01-15,288.56160683311816,278.83916863192485,284.65541988123306,288.56160683311816,288.56160683311816,-7.046910027906775,-7.046910027906775,-7.046910027906775,-0.039775023715310075,-0.039775023715310075,-0.039775023715310075,-7.007135004191466,-7.007135004191466,-7.007135004191466,0.0,0.0,0.0,281.5146968052114
2015-01-16,288.58316087124825,278.86952720756557,284.679413238313,288.58316087124825,288.58316087124825,-6.870825204006429,-6.870825204006429,-6.870825204006429,0.07190578096098513,0.07190578096098513,0.07190578096098513,-6.942730984967414,-6.942730984967414,-6.942730984967414,0.0,0.0,0.0,281.7123356672418
2015-01-17,288.6047149093784,279.0290957935616,284.85694190101805,288.6047149093784,288.6047149093784,-6.793608155825513,-6.793608155825513,-6.793608155825513,0.09040240619855366,0.09040240619855366,0.09040240619855366,-6.884010562024065,-6.884010562024065,-6.884010562024065,0.0,0.0,0.0,281.8111067535529
2015-01-18,288.6262689475085,279.0215383014777,284.96231930704727,288.6262689475085,288.6262689475085,-6.705622993209598,-6.705622993209598,-6.705622993209598,0.12661403692311463,0.12661403692311463,0.12661403692311463,-6.832237030132712,-6.832237030132712,-6.832237030132712,0.0,0.0,0.0,281.9206459542989
2015-01-19,288.6478229856386,278.94612380648863,284.8171639272342,288.6478229856386,288.6478229856386,-6.759291673861174,-6.759291673861174,-6.759291673861174,0.029189738174129964,0.029189738174129964,0.029189738174129964,-6.7884814120353045,-6.7884814120353045,-6.7884814120353045,0.0,0.0,0.0,281.8885313117774
2015-01-20,288.6693770237687,278.85588548274956,284.897611448775,288.6693770237687,288.6693770237687,-6.8847816696599775,-6.8847816696599775,-6.8847816696599775,-0.13119102764860807,-0.13119102764860807,-0.13119102764860807,-6.753590642011369,-6.753590642011369,-6.753590642011369,0.0,0.0,0.0,281.7845953541087
